"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 12:45:35 GMT 2023","Tue Nov 21 12:45:35 GMT 2023","243","tests","test_03_notifications","TestAddRemoveElements","","","TC 03.001 User Is Able Open Notifications Page",""
"passed","Tue Nov 21 12:45:23 GMT 2023","Tue Nov 21 12:45:34 GMT 2023","10653","tests","test_02_add_remove_elements","TestAddRemoveElements","","","TC 02.002 User Is Able To Add And Remove Elements",""
"passed","Tue Nov 21 12:45:22 GMT 2023","Tue Nov 21 12:45:22 GMT 2023","406","tests","test_02_add_remove_elements","TestAddRemoveElements","","","TC 02.001 User Is Able Open Add/Remove Elements Page",""
"passed","Tue Nov 21 12:45:04 GMT 2023","Tue Nov 21 12:45:06 GMT 2023","2000","tests","test_01_web_inputs","TestWebInputs","","","TC 01.001 User Is Able To Open Web Inputs Page",""
"passed","Tue Nov 21 12:45:09 GMT 2023","Tue Nov 21 12:45:09 GMT 2023","408","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 12:45:18 GMT 2023","Tue Nov 21 12:45:18 GMT 2023","394","tests","test_01_web_inputs","TestWebInputs","","","TC 01.004 User Is Able To Fill Password Input (pos)",""
"passed","Tue Nov 21 12:45:16 GMT 2023","Tue Nov 21 12:45:17 GMT 2023","353","tests","test_01_web_inputs","TestWebInputs","","","TC 01.003 User Is Able To Fill Text Input (pos)",""
"passed","Tue Nov 21 12:45:20 GMT 2023","Tue Nov 21 12:45:21 GMT 2023","429","tests","test_01_web_inputs","TestWebInputs","","","TC 01.005 User Is Able To Fill Date Input (pos)","
        Acceptable format for Date: ""mm-dd-yyyy"" / ""mmddyyyy""
        "
"passed","Tue Nov 21 12:45:07 GMT 2023","Tue Nov 21 12:45:08 GMT 2023","656","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 12:45:19 GMT 2023","Tue Nov 21 12:45:19 GMT 2023","353","tests","test_01_web_inputs","TestWebInputs","","","TC 01.004 User Is Able To Fill Password Input (pos)",""
"passed","Tue Nov 21 12:45:12 GMT 2023","Tue Nov 21 12:45:12 GMT 2023","344","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 12:45:13 GMT 2023","Tue Nov 21 12:45:14 GMT 2023","340","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 12:45:37 GMT 2023","Tue Nov 21 12:45:37 GMT 2023","595","tests","test_03_notifications","TestAddRemoveElements","","","TC 03.002 Success notification is displayed after click on 'Click here' button",""
"passed","Tue Nov 21 12:45:15 GMT 2023","Tue Nov 21 12:45:15 GMT 2023","387","tests","test_01_web_inputs","TestWebInputs","","","TC 01.003 User Is Able To Fill Text Input (pos)",""
"passed","Tue Nov 21 12:45:10 GMT 2023","Tue Nov 21 12:45:11 GMT 2023","372","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
