"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","858","TC 05.004 'Cookies enabled' value is equal to browser settings value","tests","Tue Apr 01 08:32:37 GMT 2025","passed","Tue Apr 01 08:32:38 GMT 2025","TestDynamicTable","test_05_browser_info","",""
"","750","TC 04.001 User Is Able Open Dynamic Table Page","tests","Tue Apr 01 08:32:25 GMT 2025","passed","Tue Apr 01 08:32:26 GMT 2025","TestDynamicTable","test_04_dynamic_table","",""
"","1245","TC 05.002 User is able to see browser information","tests","Tue Apr 01 08:32:31 GMT 2025","passed","Tue Apr 01 08:32:33 GMT 2025","TestDynamicTable","test_05_browser_info","",""
"","986","TC 01.004 User Is Able To Fill Password Input (pos)","tests","Tue Apr 01 08:31:49 GMT 2025","passed","Tue Apr 01 08:31:50 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","697","TC 05.001 User Is Able Open Browser Information Page","tests","Tue Apr 01 08:32:29 GMT 2025","passed","Tue Apr 01 08:32:30 GMT 2025","TestDynamicTable","test_05_browser_info","",""
"
        Acceptable format for Date: ""mm-dd-yyyy"" / ""mmddyyyy""
        ","972","TC 01.005 User Is Able To Fill Date Input (pos)","tests","Tue Apr 01 08:31:52 GMT 2025","passed","Tue Apr 01 08:31:53 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","1342","TC 01.002 User Is Able To Fill Number Input (pos)","tests","Tue Apr 01 08:31:40 GMT 2025","passed","Tue Apr 01 08:31:41 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","971","TC 01.003 User Is Able To Fill Text Input (pos)","tests","Tue Apr 01 08:31:45 GMT 2025","passed","Tue Apr 01 08:31:46 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","11472","TC 02.002 User Is Able To Add And Remove Elements","tests","Tue Apr 01 08:31:56 GMT 2025","passed","Tue Apr 01 08:32:08 GMT 2025","TestAddRemoveElements","test_02_add_remove_elements","",""
"","983","TC 02.001 User Is Able Open Add/Remove Elements Page","tests","Tue Apr 01 08:31:54 GMT 2025","passed","Tue Apr 01 08:31:55 GMT 2025","TestAddRemoveElements","test_02_add_remove_elements","",""
"","857","TC 04.002 'Chrome' - 'CPU' cell value is equal to output string","tests","Tue Apr 01 08:32:27 GMT 2025","passed","Tue Apr 01 08:32:28 GMT 2025","TestDynamicTable","test_04_dynamic_table","",""
"","1076","TC 01.002 User Is Able To Fill Number Input (pos)","tests","Tue Apr 01 08:31:35 GMT 2025","passed","Tue Apr 01 08:31:36 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","956","TC 01.002 User Is Able To Fill Number Input (pos)","tests","Tue Apr 01 08:31:37 GMT 2025","passed","Tue Apr 01 08:31:38 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","1244","TC 01.002 User Is Able To Fill Number Input (pos)","tests","Tue Apr 01 08:31:29 GMT 2025","passed","Tue Apr 01 08:31:31 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","1688","TC 01.001 User Is Able To Open Web Inputs Page","tests","Tue Apr 01 08:31:26 GMT 2025","passed","Tue Apr 01 08:31:28 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","1411","TC 05.003 'User Agent' is equal to browser's user-agent","tests","Tue Apr 01 08:32:34 GMT 2025","passed","Tue Apr 01 08:32:35 GMT 2025","TestDynamicTable","test_05_browser_info","",""
"","1061","TC 01.003 User Is Able To Fill Text Input (pos)","tests","Tue Apr 01 08:31:42 GMT 2025","passed","Tue Apr 01 08:31:43 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","1561","TC 01.002 User Is Able To Fill Number Input (pos)","tests","Tue Apr 01 08:31:32 GMT 2025","passed","Tue Apr 01 08:31:34 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","994","TC 03.001 User Is Able Open Notifications Page","tests","Tue Apr 01 08:32:09 GMT 2025","passed","Tue Apr 01 08:32:10 GMT 2025","TestAddRemoveElements","test_03_notifications","",""
"","976","TC 01.004 User Is Able To Fill Password Input (pos)","tests","Tue Apr 01 08:31:47 GMT 2025","passed","Tue Apr 01 08:31:48 GMT 2025","TestWebInputs","test_01_web_inputs","",""
"","11920","TC 03.002 Success notification is displayed after click on 'Click here' button","tests","Tue Apr 01 08:32:12 GMT 2025","failed","Tue Apr 01 08:32:24 GMT 2025","TestAddRemoveElements","test_03_notifications","",""
